iter	Passed	Remaining
478	2756	2997
479	2762	2992
480	2768	2987
481	2775	2982
482	2781	2977
483	2788	2972
484	2793	2966
485	2801	2962
486	2807	2957
487	2813	2951
488	2820	2947
489	2828	2943
490	2834	2938
491	2844	2936
492	2849	2930
493	2856	2926
494	2865	2923
495	2871	2917
496	2879	2914
497	2887	2910
498	2892	2904
499	2902	2902
500	2907	2895
501	2914	2890
502	2920	2885
503	2926	2879
504	2934	2875
505	2939	2870
506	2949	2867
507	2958	2865
508	2963	2859
509	2971	2854
510	2977	2849
511	2982	2842
512	2988	2837
513	2997	2834
514	3007	2832
515	3012	2826
516	3022	2823
517	3030	2819
518	3042	2819
519	3048	2814
520	3058	2811
521	3070	2811
522	3075	2805
523	3082	2799
524	3090	2795
525	3097	2791
526	3104	2786
527	3110	2780
528	3117	2775
529	3123	2769
530	3130	2764
531	3137	2759
532	3142	2753
533	3148	2747
534	3152	2740
535	3157	2733
536	3162	2726
537	3166	2719
538	3172	2713
539	3177	2706
540	3182	2700
541	3186	2692
542	3192	2686
543	3199	2681
544	3203	2674
545	3210	2669
546	3215	2663
547	3222	2657
548	3231	2654
549	3236	2648
550	3245	2644
551	3250	2637
552	3260	2635
553	3265	2629
554	3272	2624
555	3278	2617
556	3286	2613
557	3293	2608
558	3301	2604
559	3309	2600
560	3316	2595
561	3323	2590
562	3331	2585
563	3340	2582
564	3349	2578
565	3355	2573
566	3361	2567
567	3366	2560
568	3374	2555
569	3378	2548
570	3385	2543
571	3392	2538
572	3397	2532
573	3404	2526
574	3411	2521
575	3416	2514
576	3424	2510
577	3431	2505
578	3436	2498
579	3441	2491
580	3447	2486
581	3455	2481
582	3460	2475
583	3468	2470
584	3476	2466
585	3484	2461
586	3491	2456
587	3496	2450
588	3503	2444
589	3508	2438
590	3516	2433
591	3522	2427
592	3530	2423
593	3536	2417
594	3542	2411
595	3551	2407
596	3556	2400
597	3562	2395
598	3569	2389
599	3575	2383
600	3582	2378
601	3588	2372
602	3594	2366
603	3600	2360
604	3607	2355
605	3616	2351
606	3622	2345
607	3631	2341
608	3639	2336
609	3645	2330
610	3654	2326
611	3659	2320
612	3668	2315
613	3673	2309
614	3680	2304
615	3685	2297
616	3690	2290
617	3696	2285
618	3703	2279
619	3709	2273
620	3716	2267
621	3724	2263
622	3733	2259
623	3739	2253
624	3743	2246
625	3752	2241
626	3759	2236
627	3766	2231
628	3772	2225
629	3779	2219
630	3787	2214
631	3793	2208
632	3803	2205
633	3811	2200
634	3817	2194
635	3823	2188
636	3828	2181
637	3833	2175
638	3840	2169
639	3848	2164
640	3852	2157
641	3860	2152
642	3868	2147
643	3874	2141
644	3881	2136
645	3887	2130
646	3892	2123
647	3899	2118
648	3906	2112
649	3915	2108
650	3922	2102
651	3927	2096
652	3935	2091
653	3940	2084
654	3947	2079
655	3954	2073
656	3960	2067
657	3966	2061
658	3971	2055
659	3979	2049
660	3986	2044
661	3992	2038
662	4000	2033
663	4006	2027
664	4012	2021
665	4020	2016
666	4025	2009
667	4030	2003
668	4037	1997
669	4043	1991
670	4049	1985
671	4056	1979
672	4061	1973
673	4066	1966
674	4071	1960
675	4077	1954
676	4085	1949
677	4090	1942
678	4096	1936
679	4104	1931
680	4108	1924
681	4115	1918
682	4122	1913
683	4128	1907
684	4136	1902
685	4141	1895
686	4149	1890
687	4157	1885
688	4164	1879
689	4172	1874
690	4178	1868
691	4186	1863
692	4192	1857
693	4202	1853
694	4207	1846
695	4215	1841
696	4221	1835
697	4225	1828
698	4234	1823
699	4239	1816
700	4244	1810
701	4252	1805
702	4257	1798
703	4262	1792
704	4270	1787
705	4275	1780
706	4280	1774
707	4287	1768
708	4292	1761
709	4296	1755
710	4303	1749
711	4309	1743
712	4314	1736
713	4321	1731
714	4328	1725
715	4335	1719
716	4342	1713
717	4347	1707
718	4354	1701
719	4359	1695
720	4367	1690
721	4375	1684
722	4383	1679
723	4392	1674
724	4398	1668
725	4409	1664
726	4416	1658
727	4423	1652
728	4428	1646
729	4433	1639
730	4438	1633
731	4445	1627
732	4452	1621
733	4456	1615
734	4463	1609
735	4468	1602
736	4473	1596
737	4481	1591
738	4486	1584
739	4492	1578
740	4499	1572
741	4504	1566
742	4508	1559
743	4513	1553
744	4520	1547
745	4525	1540
746	4531	1534
747	4540	1529
748	4545	1523
749	4553	1517
750	4562	1512
751	4575	1508
752	4588	1505
753	4595	1499
754	4604	1494
755	4612	1488
756	4624	1484
757	4633	1479
758	4641	1473
759	4651	1468
760	4657	1462
761	4663	1456
762	4670	1450
763	4680	1445
764	4687	1440
765	4696	1434
766	4702	1428
767	4715	1424
768	4722	1418
769	4732	1413
770	4740	1408
771	4749	1402
772	4758	1397
773	4766	1391
774	4782	1388
775	4789	1382
776	4800	1377
777	4817	1374
778	4828	1369
779	4836	1364
780	4841	1357
781	4848	1351
782	4856	1345
783	4862	1339
784	4868	1333
785	4873	1326
786	4877	1320
787	4883	1313
788	4889	1307
789	4893	1300
790	4898	1294
791	4904	1287
792	4909	1281
793	4914	1275
794	4919	1268
795	4924	1262
796	4930	1255
797	4935	1249
798	4941	1243
799	4946	1236
800	4953	1230
801	4957	1223
802	4963	1217
803	4968	1211
804	4976	1205
805	4984	1199
806	4991	1193
807	4997	1187
808	5005	1181
809	5011	1175
810	5017	1169
811	5023	1162
812	5029	1156
813	5034	1150
814	5039	1143
815	5044	1137
816	5049	1131
817	5055	1124
818	5062	1118
819	5066	1112
820	5072	1105
821	5077	1099
822	5081	1092
823	5087	1086
824	5092	1080
825	5098	1073
826	5102	1067
827	5109	1061
828	5115	1055
829	5120	1048
830	5127	1042
831	5133	1036
832	5138	1030
833	5147	1024
834	5152	1018
835	5159	1012
836	5166	1006
837	5172	1000
838	5180	994
839	5187	988
840	5192	981
841	5202	976
842	5207	969
843	5213	963
844	5220	957
845	5224	951
846	5230	944
847	5237	938
848	5242	932
849	5250	926
850	5255	920
851	5259	913
852	5265	907
853	5270	901
854	5275	894
855	5284	888
856	5289	882
857	5296	876
858	5303	870
859	5308	864
860	5315	858
861	5321	851
862	5327	845
863	5334	839
864	5340	833
865	5347	827
866	5358	821
867	5367	816
868	5379	811
869	5387	805
870	5397	799
871	5406	793
872	5414	787
873	5427	782
874	5434	776
875	5440	770
876	5449	764
877	5455	758
878	5465	752
879	5471	746
880	5480	740
881	5487	734
882	5495	728
883	5503	722
884	5508	715
885	5516	709
886	5522	703
887	5530	697
888	5538	691
889	5546	685
890	5556	679
891	5569	674
892	5579	668
893	5592	663
894	5606	657
895	5613	651
896	5620	645
897	5633	639
898	5641	633
899	5652	628
900	5659	621
901	5672	616
902	5678	609
903	5684	603
904	5689	597
905	5694	590
906	5707	585
907	5711	578
908	5716	572
909	5723	566
910	5733	560
911	5739	553
912	5747	547
913	5755	541
914	5765	535
915	5777	529
916	5785	523
917	5789	517
918	5794	510
919	5800	504
920	5809	498
921	5814	491
922	5820	485
923	5829	479
924	5834	473
925	5839	466
926	5843	460
927	5848	453
928	5853	447
929	5857	440
930	5862	434
931	5867	428
932	5871	421
933	5875	415
934	5880	408
935	5885	402
936	5890	396
937	5895	389
938	5900	383
939	5904	376
940	5908	370
941	5914	364
942	5917	357
943	5923	351
944	5929	345
945	5934	338
946	5938	332
947	5943	326
948	5949	319
949	5954	313
950	5960	307
951	5965	300
952	5972	294
953	5977	288
954	5983	281
955	5988	275
956	5994	269
957	5998	262
958	6003	256
959	6007	250
960	6011	243
961	6016	237
962	6021	231
963	6026	225
964	6030	218
965	6035	212
966	6039	206
967	6044	199
968	6048	193
969	6053	187
970	6057	180
971	6062	174
972	6066	168
973	6071	162
974	6076	155
975	6081	149
976	6086	143
977	6090	137
978	6095	130
979	6099	124
980	6104	118
981	6109	111
982	6113	105
983	6117	99
984	6123	93
985	6128	87
986	6133	80
987	6139	74
988	6144	68
989	6150	62
990	6155	55
991	6160	49
992	6167	43
993	6173	37
994	6178	31
995	6183	24
996	6191	18
997	6195	12
998	6201	6
999	6207	0
